Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
BERTOTTO, BOGLIONE Y CIA. S.R.;8;2;2;10;4;1;3;6;4;6;1;;1;3;2;;2;1;2;;2;1;1;;;1;;1;1;;;1;8;;;1;1;3;2;;2;;8;;;1;;1;
SHACMAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;3;10;4;7;12;10;5;9;12;10;2;5;
INDU METAL TRAILERS;;;;;;;;;;;;;;;;;;;3;;2;4;1;7;;1;3;1;4;1;3;4;3;1;7;3;3;2;2;6;4;4;4;4;3;3;5;3;
ITATI;7;6;2;1;4;1;3;5;2;3;2;4;6;3;1;2;2;5;2;3;3;2;1;2;2;;;1;3;;;;;;1;2;1;2;1;;2;;;;1;1;;;
SANY;2;2;1;1;5;2;1;1;2;1;3;1;2;3;3;;1;1;;3;;1;1;3;;1;;;;2;3;;2;2;2;2;4;6;1;2;6;1;1;3;1;5;2;;
LAND ROVER;1;4;4;1;;;1;;1;;;;;1;;;;;1;;;;7;3;3;;1;2;2;;1;2;1;1;2;4;7;2;1;2;2;4;1;3;11;5;4;;
MANQUE;10;4;5;4;8;;2;;7;4;5;5;1;;;;;5;;2;;;;;1;;;10;4;;1;;2;2;;;;;;;;;;;;;;;
GOMATRO;;;2;2;;1;6;;;1;;3;1;1;3;;3;;3;;1;1;1;1;;2;2;1;1;1;3;1;4;2;;1;1;6;1;2;2;3;3;4;4;5;1;;
BACO;7;3;1;1;3;11;4;3;8;3;2;3;1;;;;2;;2;1;;1;1;2;1;;;;;1;1;1;1;;2;;1;2;1;4;1;1;;;;;1;1;
DFM;1;2;4;7;3;4;;2;;1;1;3;;1;3;2;2;3;;1;1;2;;3;;2;1;3;1;2;4;3;4;1;1;5;;2;;;1;1;;;;;1;;
DI POLVERE;;2;2;1;1;;;1;5;2;1;2;1;1;1;2;;6;1;2;;2;1;;1;1;1;;1;1;2;6;1;2;3;1;1;1;3;4;3;1;1;3;2;1;2;1;
OTROS;;;;;;;;;;;;;3;15;6;2;6;5;4;7;2;1;5;1;2;;1;1;1;2;1;;;;;;2;1;1;2;2;1;1;;;2;;;
EMIKEL;;;;;;5;5;2;2;1;6;2;7;2;3;2;2;1;;2;2;;1;;2;1;;1;;1;;1;;2;3;3;;1;;;1;1;2;1;5;3;;;1
STAHL;1;1;3;;2;1;3;4;3;2;;5;;1;12;;1;;2;;;3;;1;;;;;;2;1;;2;1;1;1;;;2;2;5;;2;2;;2;;2;
AA ASTARSA;;;;;;;;;;;;;;;1;;;6;2;;3;1;9;9;;1;;;2;;;;2;1;;1;;;10;;;1;2;15;1;1;1;;
GOTITAS RODANTES;;;;;;;1;9;6;5;7;4;3;1;1;5;2;2;3;2;2;3;1;5;;;;;;;;;;1;;;1;1;;;;1;;1;1;;1;;
TORREGGIANI;;;;2;;1;1;1;4;4;1;3;1;;;;;2;;;;;1;;;1;1;3;2;;2;;2;2;;3;1;;6;1;1;3;3;3;3;4;3;;
FXV;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;12;;18;;;;10;15;;;;
INDUMIX;;1;1;1;5;1;7;2;2;2;3;3;3;;3;2;;1;1;;;;;1;1;1;;2;4;;;1;1;1;1;1;;;1;;;2;1;1;;;2;1;
DPA INOX METALURGICA;;;1;3;4;3;2;3;2;1;;3;2;1;1;1;;1;4;;1;1;;;1;1;;;4;1;;;1;;;;1;1;1;1;4;;1;1;1;3;1;2;
LEO-COR;;1;3;;1;;4;5;3;;;1;4;1;;1;1;1;3;1;1;1;1;1;2;2;1;1;1;;;;1;3;;2;1;;1;2;1;;;1;1;2;;1;
XCMG;;;;2;;;;1;;;;;1;1;1;1;1;2;2;;1;;2;4;2;1;;;1;1;3;1;;6;1;;1;1;;2;3;4;1;3;3;;;1;
ACOPLANOA;2;;3;2;1;3;;;;;3;;1;;1;;5;4;;;;;;;1;2;;;;;1;1;3;;;;;;1;1;6;1;3;3;1;;1;;
VOLVO/MARCOPOLO;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;1;;11
SCANIA/MODASA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;25;11;9;
