Marca;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
METALURGICA BELGRANO;1;2;;;;;1;;;;;;;;2;;;3;;;;1;1;;;;;1;;;;;1;1;;;;1;;;;;;;1;;;;
CORADIR;;;;;1;;;1;1;;;;;1;;1;1;1;;;;;;2;3;;;;;2;1;;;;;;;;;;;;;;;;;;
PINCEN;;;;;;2;;2;;;;;;;;;2;;;;;;;;1;;;;;;1;;;;;;6;;;;;;1;;;;;;
DONGFENG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;8;
INDECAR;1;;;;;;;;2;;;;;2;;;;1;;;;;;;1;;;;;;;;;1;;;1;;2;;;;;1;;;;;
AST-PRA;;;1;;;;;;;;;;3;;1;;;;;;;;;;1;1;;1;;;;;;;;;;;1;;;;;;;2;;;
DPA INOX METALURGICA;;;1;1;;1;;;;;;1;;1;;1;;;2;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
METAGRO;;;1;;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;1;;1;;;;;;1;1;;1;1;1;;
H.C.MANCINI;;;;;;;;;;1;;;1;;;1;;1;;2;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;1;;
MIC;;1;;;;;4;;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RUBIOLO;;;1;;;2;;1;1;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;1;;;;;
SIN MARCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;2;1;2;1;1;;1;;;;
SUBARU;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;3;;1;1;
YUTONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;
CARROCERIAS APEZ;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;3;;;;1;;;;;1;;;;;;
DM TRAILERS;;;;;;;;;;2;;;;;;;;;;;;;1;;;1;;;;;;;;1;;;1;1;;;;;;;;;;;
F.H.;;;1;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;1;;;
IDERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;3;1;;
JETOUR;;1;1;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;
MONTESUR;;1;;;;1;;;;;;1;;;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;
S STOESSEL;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;
SANY;;;;;;;;;;;1;;1;1;;;1;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;
SAYI;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;4;;;;
COMAR;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;;;
MARCELINI;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;2;;;1;;;;;;;;;
MONTENEGRO;;;;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;
DS;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;
FUR-TAN;1;2;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GROSS;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;
METAL LINIERS;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;;;;;;1;1;;;
NAVARRO HNOS;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;
ISUZU;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
PORSCHE;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
DFM;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;
EMIKEL;;;;;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAW;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;
HEIL;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
LEO-COR;;;;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;
LEXUS;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;
VULCANO;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;
