Modelo;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;oct-25;nov-25;dic-25;ene-26
AUDI Q3;8;2;3;11;11;10;19;23;15;14;10;14;18;16;18;18;33;46;47;48;26;21;14;9;4;8;21;17;15;23;18;24;51;72;49;24;78;46;41;45;52;35;50;52;73;62;38;21;11
PEUGEOT EXPERT;93;17;29;56;72;68;66;56;26;19;32;11;70;16;19;6;2;27;13;4;2;1;2;;;;;;1;;;28;33;32;19;3;62;33;4;119;99;75;35;9;13;15;54;18;11
SOLA Y BRUSA BARANDAS VOLCABLES 4 EJES;21;40;61;34;36;50;60;57;40;40;53;30;46;33;74;43;27;25;21;16;21;16;11;6;14;15;16;23;16;11;19;13;27;11;22;7;33;22;30;23;22;14;28;15;30;36;22;13;3
CHEVROLET EQUINOX;4;57;46;25;30;29;28;26;10;23;24;19;38;34;36;34;48;46;44;31;41;31;15;3;12;2;6;7;39;40;122;155;88;47;24;12;5;1;;;3;1;;;;;;;
MERCEDES BENZ ATEGO 1729;16;29;27;16;24;16;18;14;19;19;11;14;32;16;24;22;34;21;36;63;31;35;24;32;33;42;15;29;53;61;76;45;60;42;39;41;49;32;12;9;6;3;8;11;14;1;2;8;
AGRALE MT 17.0 LE;59;42;43;23;15;46;38;39;37;40;9;;46;26;15;32;52;26;35;41;23;25;4;;10;12;16;5;;18;33;26;36;49;24;10;35;23;18;8;12;6;52;40;37;38;34;1;12
MERCEDES BENZ BMO 368 VERSION 1621;46;20;29;89;61;34;26;42;57;34;15;2;20;29;11;32;34;34;28;33;36;32;18;12;18;4;21;42;27;18;21;17;44;13;8;6;22;12;39;9;32;23;36;18;22;18;1;2;4
RENAULT ARKANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;98;108;55;221;187;184;204;98;20
FORD EVEREST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;8;65;446;173;78;145;121;121;21
CHEVROLET TRAILBLAZER;24;25;17;9;13;15;15;5;12;19;5;11;10;6;3;8;9;8;5;6;4;3;1;;1;;;1;12;21;26;34;21;35;36;14;15;6;3;74;70;98;93;94;84;93;67;33;10
RENAULT MASTER;;;;;;;;;;;;;2;15;25;3;14;17;3;16;10;9;5;8;12;3;2;3;5;11;31;24;18;7;2;6;30;12;39;63;79;65;101;90;163;101;60;28;6
TOYOTA RAV4;34;17;39;40;41;45;25;33;29;16;13;25;25;27;24;13;26;9;8;7;2;1;1;1;;1;;5;;;;;;;;;;;;11;6;29;99;114;95;92;55;52;10
PEUGEOT BOXER;20;34;57;47;26;39;39;44;39;7;11;8;47;36;30;29;13;17;3;3;2;1;6;1;3;14;6;10;19;13;13;21;23;15;25;9;43;53;20;95;8;10;15;1;40;32;12;7;
MERCEDES BENZ ACTROS 2545;;;;;;;;;;;;;6;6;9;5;3;2;6;11;9;14;14;2;14;9;13;14;16;6;10;16;8;14;20;13;53;59;64;62;82;76;80;113;78;50;29;19;8
KYC MAMUT;34;23;34;26;39;24;33;31;18;6;14;13;11;14;17;8;11;7;14;9;14;15;16;17;10;11;15;7;16;10;25;22;28;28;31;18;29;32;15;31;28;19;35;28;25;40;23;15;1
MERCEDES BENZ BMO 368 VERSION 1721;54;37;36;30;26;18;23;5;11;2;22;3;15;10;5;37;22;14;26;16;26;9;13;3;9;11;10;14;7;11;23;38;24;24;8;20;34;20;28;31;11;15;34;27;32;51;8;12;2
CITROEN JUMPER;18;39;49;32;25;51;53;70;30;21;6;12;33;33;25;11;11;12;6;4;1;2;;3;1;5;11;4;13;6;13;13;33;30;21;12;59;59;9;19;16;24;1;;29;16;5;10;1
IVECO 600 S;13;8;21;31;34;31;44;53;42;41;52;13;34;22;16;29;47;51;24;25;17;16;25;5;9;10;33;15;37;23;30;11;10;17;24;8;22;6;3;1;;1;;1;;;;;
MERCEDES BENZ GLC 300;12;5;;19;19;6;9;5;4;1;1;3;2;;3;1;7;31;27;7;1;;;;;19;28;37;30;25;38;39;38;43;28;12;64;19;50;45;50;29;35;41;34;33;21;9;7
AUDI Q5;3;2;;4;1;;;21;3;5;1;4;9;15;20;14;17;12;6;6;9;6;5;4;3;4;31;22;25;20;26;32;40;40;40;21;82;44;59;41;29;47;64;18;14;8;6;25;10
MERCEDES BENZ OF 1621;26;27;34;48;66;57;50;42;27;20;35;2;60;35;31;16;39;30;21;14;36;23;14;13;8;12;5;4;1;2;3;8;19;11;3;8;8;9;1;3;3;;3;3;2;2;1;;12
BAIC X35;7;6;20;8;15;8;5;2;8;4;3;2;6;3;5;13;17;10;13;13;9;1;3;3;4;8;14;16;18;13;30;8;20;35;48;43;36;26;38;85;58;26;57;14;19;46;16;28;3
IVECO 150 E;2;2;4;17;10;12;32;30;24;34;34;31;36;26;17;25;43;23;30;27;19;27;54;11;26;11;16;12;12;11;14;23;20;30;23;33;27;12;11;7;13;8;4;5;;2;2;;
RENAULT KOLEOS;6;3;9;10;;24;12;19;4;3;1;4;3;13;9;12;10;9;8;4;5;12;4;1;17;6;8;4;4;5;20;13;30;94;12;17;46;5;92;66;15;4;2;7;71;76;67;19;3
HONDA CRV;2;4;3;5;8;11;10;3;16;4;10;7;21;10;33;28;19;26;22;20;15;23;20;17;13;6;12;14;15;7;13;11;27;51;39;19;55;50;38;49;33;18;17;20;6;12;5;14;
IVECO 260 E;16;13;12;21;7;7;16;12;24;10;26;11;42;28;29;35;31;32;25;31;23;36;38;15;11;7;4;7;7;10;9;18;25;32;22;18;25;25;15;10;13;14;11;13;8;17;6;10;
